"utterance","object","slide_number_in_experiment","response","workerid","rt","Answer.time_in_minutes","speaker_cond"
"boot","boot_leather_original",31,"[0.9]",4,3232,4.65331666666667,"typ2"
"bot_check","Susan",1,"Susan",5,0,2.09218333333333,"typ2"
"box","box_cardboard_original",3,"[0.99]",5,3530,2.09218333333333,"typ2"
"jacket","jacket_denim_original",4,"[0.75]",5,5052,2.09218333333333,"typ2"
"pitcher","pitcher_plastic_original",5,"[0.98]",5,3857,2.09218333333333,"typ2"
"plate","plate_paper_green",6,"[0.64]",5,5548,2.09218333333333,"typ2"
"box","box_wood_green",7,"[0.36]",5,5543,2.09218333333333,"typ2"
"bag","bag_plastic_original",8,"[0.65]",5,2766,2.09218333333333,"typ2"
"chair","chair_metal_green",9,"[0.71]",5,4477,2.09218333333333,"typ2"
"bowl","bowl_glass_green",10,"[0.7]",5,4006,2.09218333333333,"typ2"
"bottle","bottle_glass_blue",11,"[0.43]",5,4526,2.09218333333333,"typ2"
"ball","ball_plastic_green",12,"[0.89]",5,3141,2.09218333333333,"typ2"
"spoon","spoon_wood_blue",13,"[0.23]",5,4070,2.09218333333333,"typ2"
"pitcher","pitcher_metal_blue",14,"[0.88]",5,3072,2.09218333333333,"typ2"
"bottle","bottle_plastic_original",15,"[0.91]",5,3589,2.09218333333333,"typ2"
"table","table_wood_green",16,"[0.93]",5,3486,2.09218333333333,"typ2"
"table","table_metal_original",17,"[0.7]",5,4000,2.09218333333333,"typ2"
"jacket","jacket_leather_green",18,"[0.23]",5,4078,2.09218333333333,"typ2"
"chair","chair_plastic_purple",19,"[0.89]",5,3182,2.09218333333333,"typ2"
"cup","cup_metal_blue",20,"[0.51]",5,4955,2.09218333333333,"typ2"
"bag","bag_paper_blue",21,"[0.6]",5,3598,2.09218333333333,"typ2"
"spoon","spoon_plastic_green",22,"[0.92]",5,2619,2.09218333333333,"typ2"
"ball","ball_rubber_blue",23,"[0.94]",5,2648,2.09218333333333,"typ2"
"bowl","bowl_metal_blue",24,"[0.74]",5,3522,2.09218333333333,"typ2"
"boot","boot_leather_original",25,"[0.7]",5,3916,2.09218333333333,"typ2"
"pitcher","pitcher_glass_green",26,"[0.91]",5,3134,2.09218333333333,"typ2"
"boot","boot_rubber_green",27,"[0.49]",5,4037,2.09218333333333,"typ2"
"chair","chair_wood_original",28,"[0.94]",5,3370,2.09218333333333,"typ2"
"plate","plate_plastic_green",29,"[0.69]",5,3916,2.09218333333333,"typ2"
"spoon","spoon_metal_original",30,"[1]",5,2829,2.09218333333333,"typ2"
"cup","cup_plastic_original",31,"[0.79]",5,3428,2.09218333333333,"typ2"
