"workerid","response","rt","object","Answer.time_in_minutes","utterance","slide_number_in_experiment","speaker_cond"
25,"['glass ', 'green ']",9662,"pitcher_metal_blue",3.8159,"pitcher",7,"list2"
26,"jessica",0,"Jessica",7.6423,"bot_check",1,"list2"
26,"['metal', 'sky blue']",32550,"spoon_metal_blue",7.6423,"spoon",3,"list2"
26,"['plastic', 'sky blue']",16415,"spoon_plastic_blue",7.6423,"spoon",4,"list2"
26,"['plastic', 'skyblue']",27480,"boot_rubber_blue",7.6423,"boot",5,"list2"
26,"['metal', 'skyblue']",314805,"bowl_glass_green",7.6423,"bowl",6,"list2"
26,"['melamine', 'skyblue']",25959,"pitcher_metal_blue",7.6423,"pitcher",7,"list2"
27,"Patricia",0,"Patricia",0.88435,"bot_check",1,"list2"
27,"['suede', 'blue']",8940,"boot_rubber_blue",0.88435,"boot",3,"list2"
27,"['glass', 'green']",4483,"bowl_glass_green",0.88435,"bowl",4,"list2"
27,"['plastic', 'blue']",7013,"spoon_plastic_blue",0.88435,"spoon",5,"list2"
27,"['metal', 'blue']",8450,"pitcher_metal_blue",0.88435,"pitcher",6,"list2"
27,"['metal', 'blue']",4554,"spoon_metal_blue",0.88435,"spoon",7,"list2"
28,"Mary",0,"Mary",1.08271666666667,"bot_check",1,"list2"
28,"['glass', 'green']",6231,"bowl_glass_green",1.08271666666667,"bowl",3,"list2"
28,"['plastic', 'blue']",4614,"spoon_plastic_blue",1.08271666666667,"spoon",4,"list2"
28,"['metal', 'blue']",15470,"pitcher_metal_blue",1.08271666666667,"pitcher",5,"list2"
28,"['rubber', 'blue']",9550,"boot_rubber_blue",1.08271666666667,"boot",6,"list2"
28,"['steel', 'blue']",6215,"spoon_metal_blue",1.08271666666667,"spoon",7,"list2"
29,"Margaret",0,"Margaret",0.956083333333333,"bot_check",1,"list2"
29,"['Metal', 'Blue']",6429,"spoon_metal_blue",0.956083333333333,"spoon",3,"list2"
29,"['Plastic', 'Blue']",3942,"spoon_plastic_blue",0.956083333333333,"spoon",4,"list2"
29,"['Glass', 'Blue']",14500,"pitcher_metal_blue",0.956083333333333,"pitcher",5,"list2"
29,"['Plastic', 'Green']",3997,"bowl_glass_green",0.956083333333333,"bowl",6,"list2"
29,"['Leather', 'Blue']",5711,"boot_rubber_blue",0.956083333333333,"boot",7,"list2"
