"rt","object","workerid","Answer.time_in_minutes","slide_number_in_experiment","utterance","response","speaker_cond"
0,"Patricia",7,1.5772,1,"bot_check","Patricia","list1"
6585,"ball_plastic_blue",7,1.5772,3,"ball","['rubber', 'blue']","list1"
6955,"ball_rubber_original",7,1.5772,4,"ball","['rubber', 'purple']","list1"
5628,"pitcher_glass_green",7,1.5772,5,"pitcher","['glass', 'green']","list1"
4565,"chair_metal_purple",7,1.5772,6,"chair","['plastic', 'purple']","list1"
3992,"bottle_plastic_green",7,1.5772,7,"bottle","['plastic', 'green']","list1"
3648,"spoon_plastic_original",7,1.5772,8,"spoon","['plastic', 'white']","list1"
4709,"pitcher_plastic_blue",7,1.5772,9,"pitcher","['plastic', 'blue']","list1"
3777,"boot_rubber_blue",7,1.5772,10,"boot","['rubber', 'blue']","list1"
5018,"spoon_metal_blue",7,1.5772,11,"spoon","['plastic', 'blue']","list1"
3381,"bowl_glass_green",7,1.5772,12,"bowl","['glass', 'green']","list1"
6671,"cup_metal_blue",7,1.5772,13,"cup","['copper', 'blue']","list1"
4411,"table_metal_green",7,1.5772,14,"table","['wood', 'green']","list1"
0,"Barbara",8,2.02961666666667,1,"bot_check","Barbara","list1"
16393,"spoon_metal_blue",8,2.02961666666667,3,"spoon","['Plastic', 'Blue']","list1"
5536,"ball_rubber_original",8,2.02961666666667,4,"ball","['Foam', 'Purple']","list1"
6715,"pitcher_plastic_blue",8,2.02961666666667,5,"pitcher","['Plastic', 'Blue']","list1"
9166,"pitcher_glass_green",8,2.02961666666667,6,"pitcher","['Plastic', 'Green']","list1"
9895,"spoon_plastic_original",8,2.02961666666667,7,"spoon","['Plastic', 'White']","list1"
7901,"cup_metal_blue",8,2.02961666666667,8,"cup","['Metal', 'Blue']","list1"
7794,"ball_plastic_blue",8,2.02961666666667,9,"ball","['Plastic', 'Blue']","list1"
6383,"boot_rubber_blue",8,2.02961666666667,10,"boot","['Rubber', 'Blue']","list1"
7887,"chair_metal_purple",8,2.02961666666667,11,"chair","['Steel', 'Purple']","list1"
10072,"bottle_plastic_green",8,2.02961666666667,12,"bottle","['Plastic', 'Green']","list1"
6446,"bowl_glass_green",8,2.02961666666667,13,"bowl","['plastic', 'green']","list1"
12608,"table_metal_green",8,2.02961666666667,14,"table","['Metal', 'Green']","list1"
0,"Jennifer",9,1.87371666666667,1,"bot_check","Jennifer","list1"
7734,"pitcher_glass_green",9,1.87371666666667,3,"pitcher","['glass', 'green']","list1"
9901,"table_metal_green",9,1.87371666666667,4,"table","['metal', 'green']","list1"
7906,"chair_metal_purple",9,1.87371666666667,5,"chair","['metal', 'purple']","list1"
9248,"spoon_plastic_original",9,1.87371666666667,6,"spoon","['plastic', 'white']","list1"
8280,"ball_plastic_blue",9,1.87371666666667,7,"ball","['rubber', 'blue']","list1"
7040,"spoon_metal_blue",9,1.87371666666667,8,"spoon","['steel', 'silver']","list1"
7512,"ball_rubber_original",9,1.87371666666667,9,"ball","['foam', 'purple']","list1"
7808,"bowl_glass_green",9,1.87371666666667,10,"bowl","['glass', 'green']","list1"
5696,"cup_metal_blue",9,1.87371666666667,11,"cup","['steel', 'silver']","list1"
7593,"pitcher_plastic_blue",9,1.87371666666667,12,"pitcher","['plastic', 'white']","list1"
5167,"bottle_plastic_green",9,1.87371666666667,13,"bottle","['plastic', 'green']","list1"
5120,"boot_rubber_blue",9,1.87371666666667,14,"boot","['rubber', 'blue']","list1"
0,"Margaret",10,1.83143333333333,1,"bot_check","Margaret","list1"
8898,"pitcher_plastic_blue",10,1.83143333333333,3,"pitcher","['plastic', 'blue']","list1"
9563,"pitcher_glass_green",10,1.83143333333333,4,"pitcher","['glass', 'gree']","list1"
9612,"table_metal_green",10,1.83143333333333,5,"table","['plastic', 'greeen']","list1"
7039,"boot_rubber_blue",10,1.83143333333333,6,"boot","['rubber', 'blue']","list1"
6857,"chair_metal_purple",10,1.83143333333333,7,"chair","['metal', 'purple']","list1"
6668,"bowl_glass_green",10,1.83143333333333,8,"bowl","['glass', 'green']","list1"
6492,"spoon_plastic_original",10,1.83143333333333,9,"spoon","['plastic', 'white']","list1"
6270,"ball_plastic_blue",10,1.83143333333333,10,"ball","['rubber', 'blue']","list1"
5484,"cup_metal_blue",10,1.83143333333333,11,"cup","['metal', 'crome']","list1"
7082,"spoon_metal_blue",10,1.83143333333333,12,"spoon","['metal', 'crome']","list1"
6028,"ball_rubber_original",10,1.83143333333333,13,"ball","['rubber', 'purple']","list1"
10291,"bottle_plastic_green",10,1.83143333333333,14,"bottle","['plastic', 'green and blue']","list1"
0,"Jennifer",11,1.25813333333333,1,"bot_check","jennifer","list1"
4929,"ball_plastic_blue",11,1.25813333333333,3,"ball","['plastic', 'blue']","list1"
5582,"spoon_metal_blue",11,1.25813333333333,4,"spoon","['metal', 'silver']","list1"
6201,"chair_metal_purple",11,1.25813333333333,5,"chair","['metal', 'purple']","list1"
3272,"bowl_glass_green",11,1.25813333333333,6,"bowl","['glass', 'green']","list1"
5296,"pitcher_glass_green",11,1.25813333333333,7,"pitcher","['plastic', 'green']","list1"
4335,"cup_metal_blue",11,1.25813333333333,8,"cup","['Tin', 'blue']","list1"
3820,"boot_rubber_blue",11,1.25813333333333,9,"boot","['rubber', 'blue']","list1"
4932,"table_metal_green",11,1.25813333333333,10,"table","['metal', 'green']","list1"
5440,"ball_rubber_original",11,1.25813333333333,11,"ball","['rubber', 'purple']","list1"
6471,"bottle_plastic_green",11,1.25813333333333,12,"bottle","['plastic', 'green']","list1"
3520,"spoon_plastic_original",11,1.25813333333333,13,"spoon","['plastic', 'white']","list1"
3857,"pitcher_plastic_blue",11,1.25813333333333,14,"pitcher","['plastic', 'blue']","list1"
0,"Barbara",12,1.9349,1,"bot_check","Babara","list1"
0,"Barbara",12,1.9349,1,"bot_check","Babara","list1"
0,"Barbara",12,1.9349,1,"bot_check","Barbara","list1"
14725,"cup_metal_blue",12,1.9349,3,"cup","['metal', 'blue']","list1"
5812,"ball_rubber_original",12,1.9349,4,"ball","['rubber', 'purple']","list1"
5229,"ball_plastic_blue",12,1.9349,5,"ball","['plastic', 'blue']","list1"
11551,"table_metal_green",12,1.9349,6,"table","['wood', 'green']","list1"
4200,"pitcher_plastic_blue",12,1.9349,7,"pitcher","['plastic', 'blue']","list1"
11256,"spoon_metal_blue",12,1.9349,8,"spoon","['metal', 'blue']","list1"
6768,"bottle_plastic_green",12,1.9349,9,"bottle","['plastic', 'green']","list1"
4880,"chair_metal_purple",12,1.9349,10,"chair","['metal', 'purple']","list1"
4296,"spoon_plastic_original",12,1.9349,11,"spoon","['plastic', 'white']","list1"
7839,"boot_rubber_blue",12,1.9349,12,"boot","['leather', 'blue']","list1"
4055,"bowl_glass_green",12,1.9349,13,"bowl","['glass', 'green']","list1"
4320,"pitcher_glass_green",12,1.9349,14,"pitcher","['glass', 'green']","list1"
0,"Jessica",13,1.4048,1,"bot_check","Jessica","list1"
5119,"bottle_plastic_green",13,1.4048,3,"bottle","['plastic', 'green']","list1"
7966,"chair_metal_purple",13,1.4048,4,"chair","['metal', 'purple']","list1"
4646,"spoon_plastic_original",13,1.4048,5,"spoon","['plastic', 'white']","list1"
8245,"table_metal_green",13,1.4048,6,"table","['metal', 'green']","list1"
5022,"pitcher_glass_green",13,1.4048,7,"pitcher","['glass', 'green']","list1"
4889,"cup_metal_blue",13,1.4048,8,"cup","['metal', 'blue']","list1"
5267,"pitcher_plastic_blue",13,1.4048,9,"pitcher","['plastic', 'blue']","list1"
4171,"boot_rubber_blue",13,1.4048,10,"boot","['rubber', 'blue']","list1"
4264,"ball_plastic_blue",13,1.4048,11,"ball","['rubber', 'blue']","list1"
3972,"bowl_glass_green",13,1.4048,12,"bowl","['glass', 'green']","list1"
4201,"spoon_metal_blue",13,1.4048,13,"spoon","['metal', 'blue']","list1"
4695,"ball_rubber_original",13,1.4048,14,"ball","['rubber', 'purple']","list1"
0,"Susan",14,3.47788333333333,1,"bot_check","Susan","list1"
12343,"pitcher_glass_green",14,3.47788333333333,3,"pitcher","['Plastic', 'Green']","list1"
16856,"boot_rubber_blue",14,3.47788333333333,4,"boot","['Rubber', 'Blue']","list1"
8775,"ball_rubber_original",14,3.47788333333333,5,"ball","['rubber', 'purple']","list1"
13736,"table_metal_green",14,3.47788333333333,6,"table","['metal', 'green']","list1"
61344,"ball_plastic_blue",14,3.47788333333333,7,"ball","['stone', 'blue']","list1"
7584,"spoon_metal_blue",14,3.47788333333333,8,"spoon","['metal', 'silver']","list1"
8288,"chair_metal_purple",14,3.47788333333333,9,"chair","['metal', 'purple']","list1"
9544,"bottle_plastic_green",14,3.47788333333333,10,"bottle","['plastic', 'green']","list1"
18384,"spoon_plastic_original",14,3.47788333333333,11,"spoon","['plastic', 'white']","list1"
6120,"pitcher_plastic_blue",14,3.47788333333333,12,"pitcher","['plastic', 'blue']","list1"
7448,"bowl_glass_green",14,3.47788333333333,13,"bowl","['glass', 'green']","list1"
8424,"cup_metal_blue",14,3.47788333333333,14,"cup","['metal', 'blue']","list1"
0,"Margaret",15,1.64013333333333,1,"bot_check","Margaret","list2"
6932,"ball_rubber_blue",15,1.64013333333333,3,"ball","['rubber', 'blue']","list2"
11030,"cup_plastic_green",15,1.64013333333333,4,"cup","['plastic', 'green']","list2"
6712,"bowl_metal_blue",15,1.64013333333333,5,"bowl","['metal', 'blue']","list2"
6950,"spoon_plastic_green",15,1.64013333333333,6,"spoon","['plastic', 'light green']","list2"
5072,"ball_plastic_green",15,1.64013333333333,7,"ball","['rubber', 'green']","list2"
6840,"table_metal_blue",15,1.64013333333333,8,"table","['metal', 'blue']","list2"
7590,"spoon_metal_green",15,1.64013333333333,9,"spoon","['metal', 'green']","list2"
5354,"bottle_glass_green",15,1.64013333333333,10,"bottle","['glass', 'green']","list2"
7014,"chair_plastic_purple",15,1.64013333333333,11,"chair","['plastic', 'purple']","list2"
7636,"pitcher_glass_blue",15,1.64013333333333,12,"pitcher","['glass', 'light blue']","list2"
4762,"bottle_plastic_blue",15,1.64013333333333,13,"bottle","['plastic', 'blue']","list2"
0,"Mary",16,1.87918333333333,1,"bot_check","Mary","list2"
6961,"bowl_metal_blue",16,1.87918333333333,3,"bowl","['metal', 'silver']","list2"
6493,"table_metal_blue",16,1.87918333333333,4,"table","['metal', 'gray']","list2"
8047,"bottle_plastic_blue",16,1.87918333333333,5,"bottle","['plastic', 'clear']","list2"
7053,"spoon_plastic_green",16,1.87918333333333,6,"spoon","['plastic', 'green']","list2"
5434,"cup_plastic_green",16,1.87918333333333,7,"cup","['plastic', 'green']","list2"
5594,"chair_plastic_purple",16,1.87918333333333,8,"chair","['plastic', 'purple']","list2"
6196,"pitcher_glass_blue",16,1.87918333333333,9,"pitcher","['glass', 'clear']","list2"
5448,"bottle_glass_green",16,1.87918333333333,10,"bottle","['glass', 'green']","list2"
15146,"ball_rubber_blue",16,1.87918333333333,11,"ball","['rubber', 'blue']","list2"
7341,"spoon_metal_green",16,1.87918333333333,12,"spoon","['metal', 'green']","list2"
6949,"ball_plastic_green",16,1.87918333333333,13,"ball","['rubber', 'green']","list2"
0,"Linda",17,1.42745,1,"bot_check","Linda","list2"
7355,"table_metal_blue",17,1.42745,3,"table","['Plastic', 'Blue']","list2"
8086,"spoon_plastic_green",17,1.42745,4,"spoon","['Plastic', 'Green']","list2"
5553,"pitcher_glass_blue",17,1.42745,5,"pitcher","['Glass', 'Blue']","list2"
9728,"ball_rubber_blue",17,1.42745,6,"ball","['Styrafome', 'Blue']","list2"
5640,"bottle_glass_green",17,1.42745,7,"bottle","['Glass', 'Green']","list2"
7088,"chair_plastic_purple",17,1.42745,8,"chair","['Plastic', 'Purple']","list2"
4791,"ball_plastic_green",17,1.42745,9,"ball","['Plastic', 'Green']","list2"
4662,"bottle_plastic_blue",17,1.42745,10,"bottle","['Plastic', 'Blue']","list2"
5202,"cup_plastic_green",17,1.42745,11,"cup","['Plastic', 'Green']","list2"
4334,"bowl_metal_blue",17,1.42745,12,"bowl","['Metal', 'Blue']","list2"
4048,"spoon_metal_green",17,1.42745,13,"spoon","['Metal', 'Green']","list2"
0,"Susan",18,2.13808333333333,1,"bot_check","susan","list2"
12074,"table_metal_blue",18,2.13808333333333,3,"table","['wood', 'blue']","list2"
8650,"cup_plastic_green",18,2.13808333333333,4,"cup","['plastic', 'green']","list2"
6140,"ball_plastic_green",18,2.13808333333333,5,"ball","['rubber', 'green']","list2"
8970,"ball_rubber_blue",18,2.13808333333333,6,"ball","['rubber', 'blue']","list2"
7186,"spoon_plastic_green",18,2.13808333333333,7,"spoon","['plastic', 'green']","list2"
9055,"pitcher_glass_blue",18,2.13808333333333,8,"pitcher","['glass', 'blue']","list2"
6586,"bottle_glass_green",18,2.13808333333333,9,"bottle","['glass', 'green']","list2"
9981,"chair_plastic_purple",18,2.13808333333333,10,"chair","['plastic', 'purple']","list2"
7459,"bowl_metal_blue",18,2.13808333333333,11,"bowl","['metal', 'blue']","list2"
6977,"spoon_metal_green",18,2.13808333333333,12,"spoon","['metal', 'green']","list2"
6763,"bottle_plastic_blue",18,2.13808333333333,13,"bottle","['plastic', 'blue']","list2"
0,"Elizabeth",19,4.82613333333333,1,"bot_check","Elizabeth","list2"
12302,"bottle_glass_green",19,4.82613333333333,3,"bottle","['glass', 'green']","list2"
13871,"chair_plastic_purple",19,4.82613333333333,4,"chair","['plastic', 'purple']","list2"
11752,"ball_plastic_green",19,4.82613333333333,5,"ball","['plastic', 'green']","list2"
14648,"cup_plastic_green",19,4.82613333333333,6,"cup","['plastic', 'green']","list2"
11445,"bottle_plastic_blue",19,4.82613333333333,7,"bottle","['plastic', 'blue']","list2"
58286,"spoon_metal_green",19,4.82613333333333,8,"spoon","['metal', 'silver']","list2"
50904,"table_metal_blue",19,4.82613333333333,9,"table","['wood and metal', 'black and silver']","list2"
13012,"ball_rubber_blue",19,4.82613333333333,10,"ball","['plastic', 'blue']","list2"
29152,"pitcher_glass_blue",19,4.82613333333333,11,"pitcher","['acrylic', 'blue']","list2"
10024,"spoon_plastic_green",19,4.82613333333333,12,"spoon","['plastic', 'green']","list2"
14704,"bowl_metal_blue",19,4.82613333333333,13,"bowl","['tin', 'blue']","list2"
0,"Elizabeth",20,2.26415,1,"bot_check","Elizabeth","list2"
16484,"chair_plastic_purple",20,2.26415,3,"chair","['plastic', 'purple']","list2"
15726,"bottle_plastic_blue",20,2.26415,4,"bottle","['plastic', 'blue']","list2"
8623,"table_metal_blue",20,2.26415,5,"table","['plastic', 'blue']","list2"
9073,"spoon_metal_green",20,2.26415,6,"spoon","['metal', 'green']","list2"
8447,"pitcher_glass_blue",20,2.26415,7,"pitcher","['plastic', 'blue']","list2"
7073,"cup_plastic_green",20,2.26415,8,"cup","['plastic', 'green']","list2"
12905,"ball_rubber_blue",20,2.26415,9,"ball","['rubber', 'blue']","list2"
8694,"bowl_metal_blue",20,2.26415,10,"bowl","['metal', 'blue']","list2"
9751,"ball_plastic_green",20,2.26415,11,"ball","['rubber', 'green']","list2"
6928,"spoon_plastic_green",20,2.26415,12,"spoon","['plastic', 'green']","list2"
8436,"bottle_glass_green",20,2.26415,13,"bottle","['glass', 'green']","list2"
0,"Jessica",21,2.75785,1,"bot_check","Jessica","list2"
9853,"bottle_plastic_blue",21,2.75785,3,"bottle","['Plastic', 'Blue']","list2"
13362,"spoon_metal_green",21,2.75785,4,"spoon","['Steel', 'Green']","list2"
9350,"chair_plastic_purple",21,2.75785,5,"chair","['Plastic', 'Purple']","list2"
9876,"cup_plastic_green",21,2.75785,6,"cup","['Plastic', 'Green']","list2"
15912,"table_metal_blue",21,2.75785,7,"table","['Plastic', 'Blue']","list2"
8804,"bottle_glass_green",21,2.75785,8,"bottle","['Glass', 'Green']","list2"
11794,"ball_rubber_blue",21,2.75785,9,"ball","['Rubber', 'Blue']","list2"
9216,"bowl_metal_blue",21,2.75785,10,"bowl","['Steel', 'Blue']","list2"
7840,"pitcher_glass_blue",21,2.75785,11,"pitcher","['Glass', 'Blue']","list2"
10134,"ball_plastic_green",21,2.75785,12,"ball","['Plastic', 'Green']","list2"
9388,"spoon_plastic_green",21,2.75785,13,"spoon","['Plastic', 'Green']","list2"
0,"Jennifer",22,2.48486666666667,1,"bot_check","Jennifer","list2"
9223,"bowl_metal_blue",22,2.48486666666667,3,"bowl","['plastic', 'blue']","list2"
7192,"spoon_plastic_green",22,2.48486666666667,4,"spoon","['plastic', 'green']","list2"
6993,"cup_plastic_green",22,2.48486666666667,5,"cup","['plastic', 'green']","list2"
7350,"table_metal_blue",22,2.48486666666667,6,"table","['metal', 'blue']","list2"
7080,"chair_plastic_purple",22,2.48486666666667,7,"chair","['plastic', 'purple']","list2"
9939,"ball_plastic_green",22,2.48486666666667,8,"ball","['rubber', 'green']","list2"
8389,"ball_rubber_blue",22,2.48486666666667,9,"ball","['rubber', 'blue']","list2"
6429,"pitcher_glass_blue",22,2.48486666666667,10,"pitcher","['glass', 'blue']","list2"
6304,"bottle_plastic_blue",22,2.48486666666667,11,"bottle","['plastic', 'blue']","list2"
11885,"bottle_glass_green",22,2.48486666666667,12,"bottle","['glass', 'green']","list2"
19993,"spoon_metal_green",22,2.48486666666667,13,"spoon","['metal', 'green']","list2"
0,"Barbara",23,3.56033333333333,1,"bot_check","Barbara","list2"
26987,"chair_plastic_purple",23,3.56033333333333,3,"chair","['plastic', 'purple']","list2"
7398,"ball_rubber_blue",23,3.56033333333333,4,"ball","['rubber', 'blue']","list2"
9207,"bowl_metal_blue",23,3.56033333333333,5,"bowl","['metal', 'blue']","list2"
9696,"table_metal_blue",23,3.56033333333333,6,"table","['wood', 'blue']","list2"
9202,"ball_plastic_green",23,3.56033333333333,7,"ball","['rubber', 'green']","list2"
7696,"bottle_glass_green",23,3.56033333333333,8,"bottle","['glass', 'green']","list2"
11695,"spoon_metal_green",23,3.56033333333333,9,"spoon","['metal', 'green']","list2"
8983,"cup_plastic_green",23,3.56033333333333,10,"cup","['plastic', 'green']","list2"
8759,"bottle_plastic_blue",23,3.56033333333333,11,"bottle","['plastic', 'blue']","list2"
9600,"spoon_plastic_green",23,3.56033333333333,12,"spoon","['plastic', 'green']","list2"
9177,"pitcher_glass_blue",23,3.56033333333333,13,"pitcher","['glass', 'blue']","list2"
0,"Linda",24,1.97656666666667,1,"bot_check","Linda","list2"
10023,"chair_plastic_purple",24,1.97656666666667,3,"chair","['plastic', 'purple']","list2"
7736,"bowl_metal_blue",24,1.97656666666667,4,"bowl","['metal', 'blue']","list2"
15874,"table_metal_blue",24,1.97656666666667,5,"table","['aluminum', 'blue']","list2"
7221,"ball_plastic_green",24,1.97656666666667,6,"ball","['rubber', 'green']","list2"
8582,"spoon_metal_green",24,1.97656666666667,7,"spoon","['metal', 'green']","list2"
8722,"ball_rubber_blue",24,1.97656666666667,8,"ball","['rubber', 'blue']","list2"
6230,"pitcher_glass_blue",24,1.97656666666667,9,"pitcher","['glass', 'blue']","list2"
6386,"bottle_glass_green",24,1.97656666666667,10,"bottle","['glass', 'green']","list2"
7666,"cup_plastic_green",24,1.97656666666667,11,"cup","['plastic', 'green']","list2"
7835,"spoon_plastic_green",24,1.97656666666667,12,"spoon","['plastic', 'green']","list2"
8340,"bottle_plastic_blue",24,1.97656666666667,13,"bottle","['plastic', 'blue']","list2"
0,"Susan",25,2.77938333333333,1,"bot_check","Susan","list2"
6624,"pitcher_glass_blue",25,2.77938333333333,3,"pitcher","['plastic', 'blue']","list2"
6698,"cup_plastic_green",25,2.77938333333333,4,"cup","['plastic', 'green']","list2"
8215,"bottle_plastic_blue",25,2.77938333333333,5,"bottle","['plastic', 'blue']","list2"
14543,"bowl_metal_blue",25,2.77938333333333,6,"bowl","['plastic', 'blue']","list2"
