"utterance","correct_answer","rt","feature_type","response","correct_color","slide_number_in_experiment","feature","correct_material","object","workerid","Answer.time_in_minutes","label","item","speaker_cond"
"","['no']",NA,"['color']","[921, 'no']","['purple']","70","['silver']","['metal']","",0,3.93496666666667,"chair_metal_purple","['chair']","list1"
"","['no']",NA,"['material']","[889, 'no']","['white']","71","['denim']","['plastic']","",0,3.93496666666667,"spoon_plastic_original","['spoon']","list1"
"","['no']",NA,"['material']","[911, 'no']","['green']","72","['wood']","['plastic']","",0,3.93496666666667,"chair_plastic_green","['chair']","list1"
"","['yes']",NA,"['material']","[1073, 'yes']","['green']","73","['leather']","['leather']","",0,3.93496666666667,"boot_leather_green","['boot']","list1"
"","['yes']",NA,"['material']","[1008, 'yes']","['blue']","74","['wood']","['wood']","",0,3.93496666666667,"spoon_wood_blue","['spoon']","list1"
"","['no']",NA,"['material']","[1217, 'no']","['green']","75","['leather']","['metal']","",0,3.93496666666667,"cup_metal_green","['cup']","list1"
"","['yes']",NA,"['color']","[863, 'yes']","['green']","76","['green']","['plastic']","",0,3.93496666666667,"bottle_plastic_green","['bottle']","list1"
"","['no']",NA,"['color']","[1063, 'no']","['green']","77","['brown']","['wood']","",0,3.93496666666667,"box_wood_green","['box']","list1"
"","['yes']",NA,"['color']","[863, 'yes']","['green']","78","['green']","['plastic']","",0,3.93496666666667,"bag_plastic_green","['bag']","list1"
"","['yes']",NA,"['color']","[840, 'yes']","['green']","79","['green']","['glass']","",0,3.93496666666667,"bowl_glass_green","['bowl']","list1"
"","['no']",NA,"['color']","[1096, 'no']","['brown']","80","['clear']","['wood']","",0,3.93496666666667,"spoon_wood_original","['spoon']","list1"
"","['no']",NA,"['material']","[1143, 'no']","['brown']","81","['rubber']","['leather']","",0,3.93496666666667,"boot_leather_brown","['boot']","list1"
"","['yes']",NA,"['material']","[1160, 'yes']","['silver']","82","['metal']","['metal']","",0,3.93496666666667,"table_metal_original","['table']","list1"
"","['no']",NA,"['material']","[841, 'no']","['green']","83","['paper']","['rubber']","",0,3.93496666666667,"boot_rubber_original","['boot']","list1"
"","['no']",NA,"['material']","[967, 'no']","['green']","84","['denim']","['metal']","",0,3.93496666666667,"bowl_metal_green","['bowl']","list1"
"","['no']",NA,"['material']","[920, 'no']","['blue']","85","['wood']","['plastic']","",0,3.93496666666667,"bag_plastic_blue","['bag']","list1"
"","['yes']",NA,"['material']","[1105, 'no']","['green']","86","['metal']","['metal']","",0,3.93496666666667,"pitcher_metal_green","['pitcher']","list1"
"","['yes']",NA,"['color']","[1048, 'yes']","['blue']","87","['blue']","['plastic']","",0,3.93496666666667,"chair_plastic_original","['chair']","list1"
"","['no']",NA,"['material']","[1040, 'no']","['brown']","88","['plastic']","['wood']","",0,3.93496666666667,"box_wood_original","['box']","list1"
"","['no']",NA,"['material']","[1623, 'yes']","['green']","89","['denim']","['leather']","",0,3.93496666666667,"jacket_leather_green","['jacket']","list1"
"","['yes']",NA,"['color']","[1256, 'yes']","['green']","90","['green']","['plastic']","",0,3.93496666666667,"pitcher_plastic_green","['pitcher']","list1"
"bot_check","",0,"","Sarah","","bot_check","","","Sarah",1,3.75171666666667,"","","list1"
"","['no']",NA,"['material']","[1241, 'no']","['silver']","practice_trial","['glass']","['metal']","",1,3.75171666666667,"ball_metal_original","['ball']","list1"
"","['yes']",NA,"['color']","[1311, 'yes']","['yellow']","practice_trial","['yellow']","['wood']","",1,3.75171666666667,"door_wood_yellow","['door']","list1"
"","['no']",NA,"['color']","[1158, 'no']","['blue']","practice_trial","['red']","['metal']","",1,3.75171666666667,"ruler_metal_blue","['bag']","list1"
"","['yes']",NA,"['material']","[1120, 'yes']","['red']","practice_trial","['plastic']","['plastic']","",1,3.75171666666667,"ball_plastic_red","['ball']","list1"
"","['yes']",NA,"['color']","[1197, 'yes']","['green']","10","['green']","['wood']","",1,3.75171666666667,"spoon_wood_green","['spoon']","list1"
"","['yes']",NA,"['color']","[967, 'yes']","['green']","11","['green']","['glass']","",1,3.75171666666667,"bowl_glass_green","['bowl']","list1"
"","['no']",NA,"['material']","[1089, 'no']","['blue']","12","['leather']","['wood']","",1,3.75171666666667,"table_wood_blue","['table']","list1"
"","['no']",NA,"['color']","[969, 'no']","['blue']","13","['purple']","['metal']","",1,3.75171666666667,"bowl_metal_blue","['bowl']","list1"
"","['no']",NA,"['material']","[1112, 'no']","['green']","14","['denim']","['leather']","",1,3.75171666666667,"jacket_leather_green","['jacket']","list1"
"","['no']",NA,"['color']","[1018, 'no']","['clear']","15","['black']","['glass']","",1,3.75171666666667,"pitcher_glass_original","['pitcher']","list1"
"","['yes']",NA,"['material']","[871, 'yes']","['pink']","16","['plastic']","['plastic']","",1,3.75171666666667,"plate_plastic_pink","['plate']","list1"
"","['yes']",NA,"['color']","[1084, 'yes']","['silver']","17","['silver']","['metal']","",1,3.75171666666667,"spoon_metal_original","['spoon']","list1"
